Name,Path to File,Sub-Theme Name,Variable Name,Description,Time Period,Climate Model,RCP,Crop,Water Supply,Input Level,Data  Units,Recommended Renderer,Download URL,File Identifier,New Water Supply,New Crop
alfa200a_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\alfa200a_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Alfalfa with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Alfalfa,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/alfa200a_eta.tif,307408,Irrigation,ALF
alfa200b_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\alfa200b_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Alfalfa with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Alfalfa,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/alfa200b_eta.tif,310617,Rain-fed,ALF
bana200a_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\bana200a_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Banana with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Banana,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/bana200a_eta.tif,310458,Irrigation,BAN
bana200b_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\bana200b_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Banana with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Banana,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/bana200b_eta.tif,311516,Rain-fed,BAN
barl200a_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\barl200a_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Barley with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Barley,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/barl200a_eta.tif,306895,Irrigation,BRL
barl200b_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\barl200b_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Barley with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Barley,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/barl200b_eta.tif,312341,Rain-fed,BRL
bckw200a_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\bckw200a_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Buckwheat with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Buckwheat,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/bckw200a_eta.tif,308560,Irrigation,BUC
bckw200b_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\bckw200b_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Buckwheat with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Buckwheat,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/bckw200b_eta.tif,309018,Rain-fed,BUC
bean200a_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\bean200a_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Phaseolus bean with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Phaseolus bean,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/bean200a_eta.tif,308566,Irrigation,BEA
bean200b_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\bean200b_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Phaseolus bean with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Phaseolus bean,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/bean200b_eta.tif,307617,Rain-fed,BEA
bhsg200a_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\bhsg200a_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Biomass highland sorghum with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Biomass highland sorghum,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/bhsg200a_eta.tif,308361,Irrigation,Nan
bhsg200b_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\bhsg200b_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Biomass highland sorghum with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Biomass highland sorghum,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/bhsg200b_eta.tif,311013,Rain-fed,Nan
blsg200a_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\blsg200a_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Biomass lowland sorghum with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Biomass lowland sorghum,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/blsg200a_eta.tif,311944,Irrigation,Nan
blsg200b_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\blsg200b_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Biomass lowland sorghum with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Biomass lowland sorghum,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/blsg200b_eta.tif,307046,Rain-fed,Nan
bsrg200a_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\bsrg200a_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Biomass sorghum with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Biomass sorghum,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/bsrg200a_eta.tif,307732,Irrigation,Nan
bsrg200b_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\bsrg200b_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Biomass sorghum with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Biomass sorghum,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/bsrg200b_eta.tif,308429,Rain-fed,Nan
btsg200a_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\btsg200a_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Biomass temperate sorghum with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Biomass temperate sorghum,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/btsg200a_eta.tif,309382,Irrigation,Nan
btsg200b_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\btsg200b_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Biomass temperate sorghum with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Biomass temperate sorghum,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/btsg200b_eta.tif,312057,Rain-fed,Nan
cabb200a_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\cabb200a_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Cabbage with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Cabbage,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/cabb200a_eta.tif,309906,Irrigation,CAB
cabb200b_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\cabb200b_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Cabbage with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Cabbage,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/cabb200b_eta.tif,310432,Rain-fed,CAB
carr200a_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\carr200a_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Carrot with an Available water content of 200 mm/m (under irrigation conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Carrot,Available water content of 200 mm/m (under irrigation conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/carr200a_eta.tif,310114,Irrigation,CAR
carr200b_eta,\res02\HadGEM2-ES\rcp8p5\2020sH\carr200b_eta.tif,Growth Cycle Attributes,Crop-specific actual evapotranspiration (mm),Crop-specific actual evapotranspiration (mm) for the time period 2011-2040 for Carrot with an Available water content of 200 mm/m (under rain-fed conditions) and high input level using climate data source HadGEM2-ES based on RCP8.5,2011-2040,HadGEM2-ES,RCP8.5,Carrot,Available water content of 200 mm/m (under rain-fed conditions),High,mm,Growth Cycle Attributes - Precipitation, https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp8p5/2020sH/carr200b_eta.tif,309056,Rain-fed,CAR
